KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000110698.1	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110699.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110700.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110701.1	0	0	0	1	0	3	0	0	0	0	0	0
ENSMUSG00000110702.1	1	7	5	0	0	1	6	8	11	1	5	7
ENSMUSG00000110703.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110704.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110705.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110706.1	2	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110707.1	0	1	2	0	0	0	0	0	0	0	0	1
ENSMUSG00000110708.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110709.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110710.1	9	2	1	1	11	10	10	0	0	5	1	0
ENSMUSG00000110711.1	0	0	0	0	0	0	0	0	0	0	2	2
ENSMUSG00000110712.1	5	0	0	0	7	0	3	8	0	6	0	1
ENSMUSG00000110713.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110714.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110715.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110716.1	6	0	0	1	4	0	2	0	2	2	3	0
ENSMUSG00000110717.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110718.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110719.1	20	16	1	14	31	5	34	31	1	12	17	10
ENSMUSG00000110720.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110721.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110722.1	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000110723.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110724.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110725.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110726.1	2	4	2	1	3	5	2	1	0	0	9	3
ENSMUSG00000110727.1	1	0	1	2	8	15	2	0	0	3	1	1
ENSMUSG00000110729.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110730.1	0	7	1	0	1	1	0	0	0	0	0	0
ENSMUSG00000110731.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110732.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110734.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110735.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110736.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110737.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110738.1	0	0	0	0	0	3	0	0	0	5	2	3
ENSMUSG00000110739.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110740.1	0	0	2	4	0	0	0	2	0	0	2	2
ENSMUSG00000110741.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110744.1	4	6	7	3	5	15	2	11	10	10	17	15
ENSMUSG00000110745.1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110747.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110748.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110749.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110750.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110751.1	0	0	0	0	0	0	0	0	2	0	0	1
ENSMUSG00000110752.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110753.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110754.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110755.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110756.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110757.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110758.1	0	4	2	0	0	0	0	0	0	0	2	0
ENSMUSG00000110759.1	1	0	0	0	0	3	2	0	5	1	6	0
ENSMUSG00000110760.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110761.1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110762.1	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110765.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110766.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110767.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110768.1	3	1	0	1	4	4	3	4	3	2	0	1
ENSMUSG00000110769.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110770.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110771.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110772.1	1	0	0	3	0	7	0	0	2	0	0	1
ENSMUSG00000110773.1	6	7	2	6	13	4	3	0	2	6	1	15
ENSMUSG00000110774.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110776.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110778.1	0	1	0	4	0	0	0	0	0	4	0	0
ENSMUSG00000110779.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000110780.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110781.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110782.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110783.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110784.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110786.1	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000110787.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110788.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110789.1	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000110790.1	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000110791.1	14	18	26	6	7	16	11	5	12	2	15	4
ENSMUSG00000110792.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110793.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110794.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110795.1	3	0	0	0	3	0	2	0	0	0	0	0
ENSMUSG00000110799.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110801.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110802.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110803.1	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110804.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110808.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110809.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110810.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110811.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110812.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110813.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110814.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110815.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110816.1	5	1	3	3	0	4	1	7	0	1	3	0
ENSMUSG00000110817.1	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000110819.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110821.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110822.1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110823.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110824.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110825.1	3	5	3	8	17	5	6	8	12	6	7	14
ENSMUSG00000110826.1	0	2	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000110827.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110828.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110829.1	0	3	2	1	0	0	2	3	3	0	0	0
ENSMUSG00000110830.1	0	0	0	0	0	0	0	5	1	3	1	2
ENSMUSG00000110831.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110832.1	6	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110833.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110834.1	29	8	1	22	31	19	40	19	4	13	34	17
ENSMUSG00000110835.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110836.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110837.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110838.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110839.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110840.1	1	2	0	1	3	0	1	2	5	3	3	0
ENSMUSG00000110841.1	31	23	19	23	52	24	18	44	13	40	47	39
ENSMUSG00000110843.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110844.1	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110845.1	1	2	1	5	1	3	3	1	0	2	1	1
ENSMUSG00000110846.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110847.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110848.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110849.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110851.1	0	0	0	0	0	4	0	0	0	0	0	3
ENSMUSG00000110853.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110854.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110855.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110856.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110857.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110858.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110862.1	5	8	3	3	6	0	2	2	1	5	0	0
ENSMUSG00000110863.1	7	6	12	13	7	2	4	2	0	10	5	1
ENSMUSG00000110864.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110865.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110866.1	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110867.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110869.1	0	0	0	0	0	0	0	2	0	0	5	0
ENSMUSG00000110870.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110872.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110873.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110874.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110875.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110876.1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110877.1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110878.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110879.2	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110880.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110881.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110882.1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110884.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110885.1	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000110886.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110887.1	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000110888.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110889.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110891.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110892.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110893.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110894.1	0	0	0	0	1	0	0	3	0	0	0	4
ENSMUSG00000110895.1	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000110896.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110897.1	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000110898.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110899.1	1	0	5	9	11	0	0	4	6	0	1	2
ENSMUSG00000110901.1	0	0	1	0	5	0	0	3	0	2	2	0
ENSMUSG00000110902.1	0	0	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000110903.1	0	0	0	0	1	0	3	1	2	0	0	0
ENSMUSG00000110905.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110908.1	0	4	8	2	1	2	2	0	1	1	3	3
ENSMUSG00000110909.1	2	5	1	0	1	0	0	3	2	0	0	0
ENSMUSG00000110910.1	2	1	4	0	2	3	5	2	0	5	4	0
ENSMUSG00000110911.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110912.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110913.1	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000110914.1	0	0	0	2	0	0	0	0	1	0	9	0
ENSMUSG00000110915.1	0	0	0	0	0	0	6	0	0	0	0	0
ENSMUSG00000110916.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110917.1	0	0	2	0	1	6	1	0	0	0	0	0
ENSMUSG00000110918.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110919.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110920.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110922.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110923.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110924.1	0	3	0	0	0	1	0	5	9	3	0	0
ENSMUSG00000110925.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110926.1	0	0	0	2	2	0	0	0	0	0	0	0
ENSMUSG00000110927.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110928.1	2	2	9	1	1	2	2	2	2	4	6	0
ENSMUSG00000110929.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110930.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110932.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110935.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110936.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110937.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110938.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110940.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110941.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110942.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110943.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110944.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110945.1	4	16	10	6	10	16	5	27	13	23	16	1
ENSMUSG00000110946.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110947.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110949.1	0	0	0	1	4	0	0	1	0	2	0	0
ENSMUSG00000110950.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110951.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110952.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110953.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110956.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110957.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110958.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110959.1	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000110960.1	2	7	6	6	7	7	2	13	10	2	10	3
ENSMUSG00000110962.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110964.1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110966.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110967.1	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110968.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110969.1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110970.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110972.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110973.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110976.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110977.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110978.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110980.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110981.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110982.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110983.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110984.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110985.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110986.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110987.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110988.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110989.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110991.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110992.1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110993.1	0	3	0	2	2	5	1	1	3	0	0	5
ENSMUSG00000110995.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110996.1	1	0	0	0	2	1	0	0	0	0	8	0
ENSMUSG00000110997.1	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000110998.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110999.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111000.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111001.1	0	1	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000111002.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111003.1	7	0	0	0	1	1	1	0	1	1	0	0
ENSMUSG00000111004.1	0	0	0	1	0	1	0	0	0	0	6	0
ENSMUSG00000111005.1	0	0	0	0	1	4	0	1	0	1	0	0
ENSMUSG00000111006.1	0	0	0	0	4	0	0	0	0	0	0	0
ENSMUSG00000111008.1	0	0	0	0	3	3	0	0	0	0	7	0
ENSMUSG00000111010.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111012.1	8	8	9	8	5	3	5	13	4	6	13	6
ENSMUSG00000111013.1	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000111014.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111015.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111016.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111017.1	1	0	0	0	0	0	0	7	0	0	0	1
ENSMUSG00000111018.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111019.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111020.1	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111021.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111022.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111023.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111025.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111027.1	0	3	0	3	1	0	0	4	1	2	2	3
ENSMUSG00000111028.1	3	4	0	0	0	2	0	0	0	2	2	1
ENSMUSG00000111029.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111030.1	0	0	6	0	0	0	0	0	1	0	0	0
ENSMUSG00000111031.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111032.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111033.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111034.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111035.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111036.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000111037.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111039.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111041.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111042.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111043.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111044.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111045.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111046.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111047.1	0	0	0	0	0	0	0	3	0	1	0	1
ENSMUSG00000111048.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111049.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111050.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111051.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111052.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111053.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111054.1	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000111055.1	0	11	0	0	0	0	0	2	1	1	0	0
ENSMUSG00000111056.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111057.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111058.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111059.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111060.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111061.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111062.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111063.1	155	135	107	98	217	137	141	149	71	109	161	169
ENSMUSG00000111064.1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000111065.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111066.1	10	0	0	2	0	1	3	8	0	0	3	0
ENSMUSG00000111067.1	0	0	0	0	0	2	0	0	0	0	4	0
ENSMUSG00000111068.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111069.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111070.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111071.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111072.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111073.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111074.1	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000111075.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111077.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111078.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111079.1	0	0	2	0	6	0	0	0	0	0	0	2
ENSMUSG00000111080.1	186	152	162	213	273	191	223	249	103	155	235	168
ENSMUSG00000111081.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111082.1	0	0	0	0	3	3	0	4	0	0	2	0
ENSMUSG00000111083.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111084.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111085.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111086.1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000111087.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111088.1	25	26	32	45	45	39	16	12	11	26	30	15
ENSMUSG00000111089.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111090.1	0	0	0	3	2	1	0	1	3	6	0	0
ENSMUSG00000111091.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111092.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111093.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111094.1	3	5	0	0	0	0	0	3	0	2	0	0
ENSMUSG00000111095.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111096.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111097.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111098.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111100.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111102.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111103.1	1	0	0	0	0	2	1	0	0	1	0	0
ENSMUSG00000111104.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111105.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111106.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111107.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111108.1	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000111109.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111110.1	0	0	4	0	0	0	1	0	0	0	0	0
ENSMUSG00000111111.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111112.1	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000111114.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111115.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111116.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111117.1	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000111118.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111119.1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000111120.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111121.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111122.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111124.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111126.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111127.1	0	0	0	0	0	0	0	0	0	0	0	0
