KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000001105.15	1224	1155	1017	1071	1505	1106	1038	1588	756	1091	1337	970
ENSMUSG00000001119.7	47	88	66	19	50	39	47	68	49	46	37	54
ENSMUSG00000001120.15	169	235	262	148	167	158	81	396	149	288	307	174
ENSMUSG00000001123.15	23	81	47	21	18	25	19	43	17	45	60	21
ENSMUSG00000001127.12	558	632	533	535	994	698	461	901	449	709	890	618
ENSMUSG00000001128.7	36	30	21	31	39	27	23	46	22	45	14	13
ENSMUSG00000001131.11	36	55	25	35	28	15	20	31	25	28	19	41
ENSMUSG00000001134.9	199	150	82	130	282	141	167	195	124	146	182	119
ENSMUSG00000001138.13	137	223	182	140	161	147	74	315	194	172	209	193
ENSMUSG00000001143.13	115	217	212	192	244	154	74	305	180	242	278	149
ENSMUSG00000001150.7	512	476	519	416	750	546	404	508	339	485	552	492
ENSMUSG00000001151.10	138	207	249	134	149	151	98	198	136	165	155	164
ENSMUSG00000001155.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001156.9	88	84	52	116	138	109	60	117	62	105	145	93
ENSMUSG00000001157.13	1200	724	769	625	1193	981	1209	1152	490	725	889	709
ENSMUSG00000001158.13	2301	1775	1707	1633	2687	1910	2394	2625	965	1864	2181	1316
ENSMUSG00000001166.17	17	8	3	22	9	7	10	13	13	2	18	12
ENSMUSG00000001168.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173.15	171	153	157	99	158	165	135	165	127	130	171	126
ENSMUSG00000001175.14	20467	20354	20816	19491	31154	22578	17420	25994	12729	21722	26294	20858
ENSMUSG00000001211.15	1648	1758	1318	1779	2342	1507	1214	2748	1372	2019	2542	1612
ENSMUSG00000001225.12	0	0	2	0	0	0	1	0	2	1	0	0
ENSMUSG00000001227.11	120	174	150	115	216	190	91	159	126	121	220	197
ENSMUSG00000001228.14	2024	1474	1746	1658	2400	1770	1757	2626	1510	1693	1911	1824
ENSMUSG00000001229.8	142	307	305	152	187	151	94	372	271	263	300	150
ENSMUSG00000001240.13	143	253	152	134	163	113	118	304	172	207	269	179
ENSMUSG00000001247.16	57	43	10	16	32	32	26	44	19	34	34	22
ENSMUSG00000001248.15	248	388	451	322	466	236	176	527	321	499	569	382
ENSMUSG00000001249.14	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000001260.10	84	55	55	67	91	91	116	57	20	62	55	82
ENSMUSG00000001270.9	6891	10992	14016	9175	13057	9021	5027	15384	7686	13516	15909	10839
ENSMUSG00000001280.12	564	490	397	508	681	689	487	732	392	455	648	660
ENSMUSG00000001281.9	5	13	1	0	9	4	1	1	8	1	0	3
ENSMUSG00000001285.12	760	681	714	555	825	561	520	1035	548	671	933	730
ENSMUSG00000001288.14	0	17	15	6	10	11	5	27	1	16	9	8
ENSMUSG00000001289.12	1890	2612	2369	2209	2956	1676	1429	3083	1642	2407	3339	1864
ENSMUSG00000001300.16	229	196	191	192	314	275	186	249	87	175	186	221
ENSMUSG00000001305.5	367	559	405	253	458	406	264	542	322	389	507	294
ENSMUSG00000001313.12	11558	9193	7801	10453	15312	10321	8925	14947	8042	10606	12840	9930
ENSMUSG00000001323.17	201	212	173	219	308	200	168	377	137	217	379	222
ENSMUSG00000001333.9	5	0	4	0	3	10	10	3	2	0	6	5
ENSMUSG00000001334.9	204	115	187	196	341	191	176	221	122	164	243	137
ENSMUSG00000001348.15	11	4	0	0	0	7	3	7	3	0	0	1
ENSMUSG00000001349.5	1	1	0	0	0	0	3	1	0	0	3	5
ENSMUSG00000001366.14	286	278	304	279	435	270	264	543	210	366	523	316
ENSMUSG00000001376.17	1498	836	760	844	1624	1311	1363	1252	549	912	1001	1052
ENSMUSG00000001380.6	1401	1044	1309	982	1524	1449	1158	1741	802	1185	1237	1061
ENSMUSG00000001383.8	2379	2510	1846	2078	2666	1856	1671	3450	1433	2278	2842	1890
ENSMUSG00000001403.13	2428	3138	3466	2074	2819	2313	1738	4030	2013	2404	3359	2455
ENSMUSG00000001415.10	636	699	518	656	799	651	405	1098	544	714	994	579
ENSMUSG00000001416.13	3876	5493	5997	3776	4806	3498	2887	7140	4193	5363	6438	4275
ENSMUSG00000001418.13	211	336	413	228	243	175	175	422	252	294	359	228
ENSMUSG00000001419.17	192	237	165	216	262	179	111	369	193	175	299	225
ENSMUSG00000001420.13	9	16	8	7	6	8	5	15	8	10	20	13
ENSMUSG00000001424.14	734	1145	1252	768	952	698	472	1520	791	906	1227	918
ENSMUSG00000001435.15	624	547	818	568	601	533	401	861	682	651	658	562
ENSMUSG00000001436.15	149	201	203	116	137	113	71	270	186	168	258	122
ENSMUSG00000001440.5	1796	2938	2991	1803	2379	1767	1257	3198	1756	2271	2909	2124
ENSMUSG00000001441.13	930	1427	2084	974	1346	1227	607	1733	1064	1785	2075	1265
ENSMUSG00000001444.2	3	0	2	3	0	0	1	8	0	0	2	0
ENSMUSG00000001445.10	256	594	556	400	444	334	225	712	497	462	724	456
ENSMUSG00000001467.5	4491	3336	3457	4186	6787	5193	4504	5197	3245	4414	5471	4463
ENSMUSG00000001472.17	1234	2072	1724	1450	1492	1286	858	2982	1672	1886	2600	1295
ENSMUSG00000001473.6	370	367	165	172	237	289	253	322	160	172	236	328
ENSMUSG00000001482.15	1110	1259	956	987	1531	1154	823	1654	939	1020	1316	1041
ENSMUSG00000001493.9	11	14	14	8	1	9	7	29	6	6	10	5
ENSMUSG00000001494.6	0	0	0	0	0	0	1	0	2	0	0	7
ENSMUSG00000001496.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001504.10	41	43	24	13	31	27	34	40	15	24	18	27
ENSMUSG00000001506.10	134	272	102	126	111	146	102	193	102	135	112	178
ENSMUSG00000001507.16	23	13	6	9	23	5	10	34	12	26	26	16
ENSMUSG00000001508.15	0	0	0	0	0	2	0	4	5	3	0	1
ENSMUSG00000001510.8	1	5	0	0	0	0	0	0	8	0	5	4
ENSMUSG00000001517.14	236	395	353	226	323	326	180	559	389	246	408	235
ENSMUSG00000001518.12	160	231	251	185	177	157	155	307	202	200	274	162
ENSMUSG00000001520.12	15	3	9	6	8	2	5	4	13	14	6	4
ENSMUSG00000001521.12	124	95	112	113	135	92	80	154	117	98	150	96
ENSMUSG00000001524.14	552	534	550	506	589	478	445	658	414	485	571	466
ENSMUSG00000001525.10	43166	58635	61526	51571	72231	46939	32544	78018	45169	60924	78959	52964
ENSMUSG00000001542.7	35	25	12	19	61	36	40	42	16	28	22	12
ENSMUSG00000001552.14	115	207	186	163	244	182	75	315	198	197	288	212
ENSMUSG00000001555.10	124	135	140	90	108	69	90	184	88	111	120	114
ENSMUSG00000001558.5	4	1	1	0	14	3	2	6	5	0	3	7
ENSMUSG00000001566.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569.10	292	292	250	201	342	262	251	362	213	268	311	307
ENSMUSG00000001576.14	543	1047	764	836	917	658	382	1391	770	869	1212	820
