SHAM_rep1	SHAM_rep2	SHAM_rep3	SHAM_rep4	SNL_rep1	SNL_rep2	SNL_rep3	SNL_rep4
ENSMUSG00000001999	630	467	1062	1075	901	687	999	943
ENSMUSG00000002006	9	30	12	16	15	3	21	33
ENSMUSG00000002007	1100	1463	2542	2124	1096	893	1638	1278
ENSMUSG00000002010	2952	2713	3793	3702	4009	2954	3858	4010
ENSMUSG00000002012	107	80	42	94	62	87	72	181
ENSMUSG00000002014	1525	1727	2518	2232	2129	1508	2603	2119
ENSMUSG00000002015	2515	2432	4063	4273	3705	2839	4500	4500
ENSMUSG00000002017	163	287	176	143	159	208	287	325
ENSMUSG00000002020	0	0	1	1	1	2	0	0
ENSMUSG00000002028	1831	1674	2244	2312	2372	2108	2624	1751
ENSMUSG00000002031	723	567	933	702	627	477	659	845
ENSMUSG00000002032	84	48	210	88	167	55	120	338
ENSMUSG00000002033	1	9	18	2	4	8	7	2
ENSMUSG00000002043	85	115	179	108	111	78	93	114
ENSMUSG00000002052	755	554	1364	830	916	767	1269	1408
ENSMUSG00000002055	518	392	219	482	430	208	327	918
ENSMUSG00000002057	0	0	0	0	0	0	0	0
ENSMUSG00000002058	3	7	10	6	2	9	0	29
ENSMUSG00000002059	79	108	195	68	67	56	64	97
ENSMUSG00000002064	1110	928	1305	1350	1413	1240	1677	1763
ENSMUSG00000002068	8	0	0	1	5	5	23	2
ENSMUSG00000002076	41	21	119	26	34	42	29	27
ENSMUSG00000002083	4	8	27	24	1	3	4	8
ENSMUSG00000002100	38	1	13	26	7	0	31	15
ENSMUSG00000002102	2919	2933	3693	3632	3487	2916	3976	5137
ENSMUSG00000002103	5115	4382	7909	8480	7555	6106	11503	8410
ENSMUSG00000002104	85	133	250	221	156	86	245	164
ENSMUSG00000002105	251	313	801	520	197	303	411	393
ENSMUSG00000002107	5035	4716	6736	7440	7756	5180	7233	6674
ENSMUSG00000002108	70	77	51	87	76	39	107	114
ENSMUSG00000002109	157	148	137	411	234	161	230	263
ENSMUSG00000002111	339	378	551	632	500	336	682	662
ENSMUSG00000002129	846	1253	1308	1329	997	868	2003	1621
ENSMUSG00000002147	3284	4229	6434	5389	3890	4094	7033	5556
ENSMUSG00000002190	417	468	534	645	619	422	605	578
ENSMUSG00000002204	34	46	36	50	60	34	95	20
ENSMUSG00000002205	623	806	940	897	827	605	1026	1123
ENSMUSG00000002210	344	342	847	668	252	298	535	402
ENSMUSG00000002221	209	207	275	351	366	213	324	280
ENSMUSG00000002222	377	324	606	423	564	370	498	491
ENSMUSG00000002227	191	161	534	361	471	282	468	429
ENSMUSG00000002228	0	0	52	23	0	0	11	19
ENSMUSG00000002233	184	155	173	188	199	215	280	310
ENSMUSG00000002240	0	0	0	0	0	0	0	0
ENSMUSG00000002249	2	2	0	8	6	10	5	2
ENSMUSG00000002250	128	247	151	291	229	192	321	186
ENSMUSG00000002257	68	117	166	157	127	122	235	136
ENSMUSG00000002265	241	304	488	223	358	262	232	538
ENSMUSG00000002266	0	0	2	0	0	17	0	0
ENSMUSG00000002274	24	10	18	33	38	5	19	60
ENSMUSG00000002279	1016	1216	1396	1508	830	928	1845	1796
ENSMUSG00000002280	425	592	672	684	497	497	954	679
ENSMUSG00000002289	17	14	28	21	23	0	53	38
ENSMUSG00000002297	38	19	127	58	69	50	41	41
ENSMUSG00000002307	333	381	645	315	293	329	686	510
ENSMUSG00000002308	111	108	126	99	58	59	149	155
ENSMUSG00000002319	197	314	582	414	269	189	396	422
ENSMUSG00000002320	440	592	825	593	413	605	981	657
ENSMUSG00000002324	10	0	18	1	15	1	0	10
ENSMUSG00000002325	1616	1495	2694	2474	2214	1728	3469	2849
ENSMUSG00000002326	324	382	298	406	535	316	571	458
ENSMUSG00000002329	831	871	1092	1099	861	771	1162	1204
ENSMUSG00000002332	1196	1202	1509	1630	1646	1273	1969	2581
ENSMUSG00000002341	3493	1377	1678	1582	2685	1344	2062	7026
ENSMUSG00000002342	314	367	321	251	116	300	459	445
ENSMUSG00000002343	49	59	68	162	115	47	120	220
ENSMUSG00000002345	213	223	279	372	342	183	280	436
ENSMUSG00000002346	49	51	144	43	43	33	99	78
ENSMUSG00000002365	149	191	265	313	161	181	289	307
ENSMUSG00000002372	544	781	1483	515	611	527	1385	1091
ENSMUSG00000002379	531	491	606	655	581	406	568	814
ENSMUSG00000002384	3	0	21	1	0	4	2	0
ENSMUSG00000002393	4	10	13	12	4	2	7	14
ENSMUSG00000002395	1421	1431	1765	2196	1661	1400	2656	2381
ENSMUSG00000002396	23	41	85	75	49	8	29	39
ENSMUSG00000002409	4	4	12	10	13	5	14	6
ENSMUSG00000002413	1862	1733	2788	2833	2902	2116	3073	2774
ENSMUSG00000002416	77	94	142	132	129	55	195	74
ENSMUSG00000002428	1186	1382	2065	1908	1671	1405	2336	1774
ENSMUSG00000002455	888	920	1615	1185	703	915	1246	1348
ENSMUSG00000002458	1422	1784	2828	2070	1336	1346	2765	2178
ENSMUSG00000002459	31	19	19	5	35	1	11	48
ENSMUSG00000002475	1005	562	787	747	658	470	824	1830
ENSMUSG00000002477	156	159	248	165	138	96	211	151
ENSMUSG00000002486	95	102	149	139	121	79	125	91
ENSMUSG00000002489	118	72	110	114	138	81	114	90
ENSMUSG00000002496	588	508	810	813	637	509	1085	968
ENSMUSG00000002500	0	2	0	0	4	1	5	4
ENSMUSG00000002504	136	96	62	93	98	22	88	176
ENSMUSG00000002524	949	1143	2138	1077	582	1212	2286	1773
ENSMUSG00000002546	460	512	623	710	559	427	866	506
ENSMUSG00000002550	61	57	76	95	65	51	127	167
ENSMUSG00000002565	0	0	0	0	0	0	0	0
ENSMUSG00000002578	10	1	0	0	4	6	12	11
ENSMUSG00000002580	98	81	126	97	90	65	105	130
ENSMUSG00000002588	3	0	6	0	1	6	2	4
ENSMUSG00000002602	895	1065	1575	1102	658	822	1385	1391
ENSMUSG00000002603	265	178	327	295	277	174	320	210
ENSMUSG00000002608	466	495	1045	528	276	250	730	642
ENSMUSG00000002617	286	369	431	556	510	312	560	434
ENSMUSG00000002625	905	1454	1261	1097	1219	1026	1406	884
ENSMUSG00000002633	0	0	0	0	0	0	0	0
ENSMUSG00000002635	192	375	595	541	230	326	516	439
ENSMUSG00000002658	600	653	518	648	584	651	1018	957
ENSMUSG00000002660	884	700	1049	1177	878	632	1203	1434
ENSMUSG00000002661	56	62	93	56	28	45	127	87
ENSMUSG00000002664	0	5	0	0	0	2	0	2
ENSMUSG00000002668	2485	2781	4530	4337	2811	2522	4670	3682
ENSMUSG00000002679	204	241	399	315	321	172	372	307
ENSMUSG00000002688	18	28	35	20	32	11	9	28
ENSMUSG00000002699	5610	4909	8437	8036	9104	5688	11225	8487
ENSMUSG00000002718	1156	1459	1985	1822	1646	1245	2331	1743
