SNL27	SNL45	SHAM24	SHAM35
1:131174273-131174921|Eif2d|P	98	140	111	122
1:131175191-131175950|Eif2d|P	77	111	90	51
1:131177331-131178897|Eif2d|P	84	110	135	138
1:131180758-131185747|Eif2d|P	404	673	398	363
1:131185986-131186661|Rassf5|P	56	53	43	31
1:131187036-131190238|Rassf5|P	288	401	281	285
1:131192396-131192812|Rassf5|P	47	71	73	33
1:131193886-131195340|Rassf5|P	97	113	74	47
1:131195727-131198010|Rassf5|P	208	268	237	196
1:131200243-131202019|Rassf5|P	109	196	157	140
1:131244549-131246139|Rassf5|P	164	241	213	105
1:131246686-131247203|Rassf5|P	49	64	36	24
1:131252232-131253060|Rassf5|P	67	106	26	90
1:13126401-13126767|Prdm14|P	40	75	40	58
1:131274766-131275413|Ikbke|P	59	90	61	66
1:131289301-131289665|Srgap2|P	34	34	20	4
1:131325691-131326216|Srgap2|P	28	33	33	11
1:131345560-131346724|Srgap2|P	105	73	119	66
1:131348097-131348709|Srgap2|P	53	29	27	23
1:131349105-131349819|Srgap2|P	74	74	75	41
1:131358328-131358790|Srgap2|P	22	52	33	28
1:131359611-131360859|Srgap2|P	75	116	72	82
1:131361190-131362735|Srgap2|P	95	125	83	50
1:131362944-131364132|Srgap2|P	96	135	80	46
1:131365293-131365613|Srgap2|P	28	42	14	24
1:131366698-131367002|Srgap2|P	23	28	35	17
1:131368177-131368419|Srgap2|P	24	26	7	34
1:131377702-131379072|Srgap2|P	143	190	84	115
1:131379262-131379823|Srgap2|P	40	66	40	61
1:131380345-131380955|Srgap2|P	56	47	46	37
1:131381877-131382866|Srgap2|P	142	187	150	117
1:131384212-131384547|Srgap2|P	36	30	36	28
1:131385452-131386700|Srgap2|P	120	153	72	85
1:131388402-131389092|Srgap2|P	66	47	62	37
1:131392629-131393148|Srgap2|P	59	70	57	31
1:131409389-131409828|Srgap2|P	46	56	42	27
1:131411401-131412602|Srgap2|P	89	126	66	36
1:131416818-131417505|Srgap2|P	61	47	58	49
1:131418046-131418520|Srgap2|P	45	47	63	45
1:131419315-131419930|Srgap2|P	54	72	56	40
1:131420272-131421280|Srgap2|P	36	123	79	47
1:131422394-131423581|Srgap2|P	88	141	73	65
1:131427292-131428099|Srgap2|P	69	76	46	65
1:131428563-131428968|Srgap2|P	14	51	35	35
1:131429635-131430253|Srgap2|P	66	59	80	42
1:131431295-131431810|Srgap2|P	20	60	40	37
1:131432418-131433083|Srgap2|P	48	56	69	51
1:131433266-131433807|Srgap2|P	35	69	40	36
1:131435890-131436968|Srgap2|P	63	107	25	58
1:131437200-131438474|Srgap2|P	135	146	100	114
1:131439668-131441368|Srgap2|P	115	211	142	101
1:131443827-131444524|Srgap2|P	49	87	50	69
1:131446050-131446651|Srgap2|P	31	69	44	32
1:131446863-131447771|Srgap2|P	62	79	49	55
1:131448170-131449285|Srgap2|P	99	112	80	79
1:131450477-131450962|Srgap2|P	26	49	51	33
1:131452094-131452617|Srgap2|P	38	60	36	51
1:131453167-131454780|Srgap2|P	143	196	125	156
1:131457283-131457897|Srgap2|P	41	76	73	30
1:131458642-131458944|Srgap2|P	13	46	22	0
1:131464528-131466686|Srgap2|P	128	157	173	130
1:131467869-131468805|Srgap2|P	58	90	66	49
1:131471231-131472065|Srgap2|P	65	82	47	38
1:131474050-131474526|Srgap2|P	38	31	31	25
1:131474953-131475571|Srgap2|P	36	82	41	62
1:131477046-131477623|Srgap2|P	49	19	49	29
1:131478815-131479543|Srgap2|P	24	61	62	46
1:131483039-131484239|Srgap2|P	101	107	93	59
1:131484325-131484804|Srgap2|P	42	47	28	24
1:131485954-131486601|Srgap2|P	28	54	44	29
1:131488983-131489789|Srgap2|P	55	93	53	59
1:131492863-131493554|Srgap2|P	62	45	27	23
1:131493736-131494761|Srgap2|P	101	118	103	101
1:131496219-131497168|Srgap2|P	62	119	58	57
1:131498315-131498673|Srgap2|P	31	39	46	29
1:131501018-131502268|Srgap2|P	63	99	65	55
1:131503446-131504089|Srgap2|P	47	52	20	57
1:131505947-131506937|Srgap2|P	91	119	110	96
1:131507397-131507894|Srgap2|P	53	59	43	46
1:131514261-131514647|Srgap2|P	45	44	33	26
1:131514900-131515293|Srgap2|P	23	37	37	14
1:131516937-131517733|Srgap2|P	45	75	58	44
1:131519667-131520227|Srgap2|P	32	54	43	39
1:131528828-131529492|Fam72a|P	56	66	25	18
1:131548517-131549040|Fam72a|P	50	54	30	22
1:131554843-131555220|Fam72a|P	36	72	44	16
1:131670784-131671856|Ctse|P	56	109	57	29
1:131672148-131672497|Ctse|P	25	11	38	38
1:131678937-131680032|Rab7b|P	27	92	51	0
1:131688425-131689042|Rab7b|P	49	97	49	70
1:131690316-131692039|Rab7b|P	101	144	101	68
1:131702229-131702570|Rab7b|P	44	52	41	25
1:131703050-131703404|Rab7b|P	14	33	32	15
1:131703746-131704432|Rab7b|P	38	45	65	16
1:131797221-131797744|Pm20d1|P	21	62	30	16
1:131827277-131827600|Slc41a1|P	19	54	49	49
1:131832949-131833566|Slc41a1|P	14	38	24	67
1:131867643-131868267|Rab29|P	69	67	76	66
1:131962499-131963970|Slc45a3|P	180	179	156	110
1:131971970-131973358|Slc45a3|P	86	135	171	118
1:131975227-131976352|Slc45a3|P	92	106	112	39
1:131976596-131977353|Slc45a3|P	50	83	73	27
1:132008915-132010067|Elk4|P	120	114	76	77
1:132010390-132010820|Elk4|P	57	61	47	63
1:132011253-132011519|Elk4|P	26	50	34	30
1:132012446-132012992|Elk4|P	26	54	41	51
1:132014211-132014579|Elk4|P	31	30	8	22
1:13206179-13207645|Ncoa2|P	118	134	65	71
1:132067377-132068246|Mfsd4a|P	65	131	140	62
1:132133092-132133960|Cdk18|P	98	96	101	104
1:132138021-132138694|Cdk18|P	33	43	38	35
1:132138787-132139139|Cdk18|P	28	27	25	38
1:132139385-132140094|Cdk18|P	50	72	67	28
1:132143123-132143343|Cdk18|P	21	22	39	15
1:132168028-132168445|Lemd1|P	36	38	17	25
1:132189949-132192267|Lemd1|P	130	315	240	271
1:132206041-132206513|Mir135b|P	24	33	34	21
1:132207423-132207735|Mir135b|P	34	24	23	7
1:132211945-132212649|Lemd1|P	31	47	57	52
1:132298531-132299602|Klhdc8a|P	86	190	169	152
1:132310813-132311606|Nuak2|P	93	85	82	55
1:132311831-132312704|Nuak2|P	84	148	64	77
1:132317986-132320405|Nuak2|P	308	319	183	174
1:132322642-132323202|Nuak2|P	55	53	21	65
1:132333628-132334407|Nuak2|P	53	76	38	29
1:132335010-132335963|Nuak2|P	18	62	56	64
1:132341973-132342960|Nuak2|P	73	91	65	50
1:132343291-132344100|Nuak2|P	44	88	73	67
1:132369556-132372021|Tmcc2|P	265	348	242	239
1:132373797-132375032|Tmcc2|P	43	68	121	93
1:132380598-132381067|Tmcc2|P	19	31	72	59
1:132384055-132385515|Tmcc2|P	116	116	94	101
1:132390916-132391481|Tmcc2|P	32	70	31	47
1:132416560-132416883|Dstyk|P	38	56	20	21
1:132418308-132419109|Dstyk|P	40	74	66	47
1:13245540-13246454|Ncoa2|P	67	98	50	67
1:132478050-132478624|Rbbp5|P	46	48	44	58
1:132512644-132512891|Cntn2|P	29	0	11	29
1:13254110-13255104|Ncoa2|P	36	80	66	61
1:13255320-13256258|Ncoa2|P	80	123	122	84
1:132565887-132566277|Nfasc|P	15	35	37	44
1:132637444-132638207|Nfasc|P	38	37	53	77
1:132653621-132653919|Nfasc|P	10	12	35	48
1:132655717-132656094|Nfasc|P	11	42	26	36
1:13266529-13267047|Ncoa2|P	62	51	38	50
1:13267254-13267819|Ncoa2|P	39	45	54	49
1:132693622-132694447|Nfasc|P	60	21	58	61
1:132696000-132696580|Nfasc|P	39	42	54	30
1:132709261-132709850|Nfasc|P	29	27	63	36
1:132728519-132729141|Gm10538|P	27	18	24	54
1:132729412-132729836|Gm10538|P	20	18	26	33
1:132730388-132730630|Gm10538|P	2	10	21	38
1:132732103-132732610|Gm10538|P	9	26	3	54
1:132732820-132733316|Gm10538|P	3	15	38	36
1:132733806-132734691|Gm10538|P	34	80	50	72
1:13287567-13287960|Ncoa2|P	18	30	16	25
1:132880102-132880958|Lrrn2|P	27	91	64	23
1:132881136-132881771|Lrrn2|P	0	49	48	32
1:132893466-132893819|Lrrn2|P	23	19	36	35
1:13291373-13291834|Ncoa2|P	46	36	17	25
1:13292191-13294103|Ncoa2|P	116	162	108	117
1:132932281-132932540|Lrrn2|P	16	18	36	28
1:13294767-13295584|Ncoa2|P	58	108	81	83
1:13296334-13296768|Ncoa2|P	51	63	39	42
1:13297032-13297628|Ncoa2|P	39	35	69	28
1:13299097-13299361|Ncoa2|P	37	9	37	32
1:13301475-13302093|Ncoa2|P	53	48	37	43
1:133023751-133024252|Mdm4|P	28	51	55	69
1:133086673-133087757|Pik3c2b|P	124	110	114	56
1:13311495-13311919|Ncoa2|P	24	37	40	51
1:13312667-13312902|Ncoa2|P	25	13	35	16
1:133129413-133129787|Ppp1r15b|P	36	28	20	45
1:133132800-133133579|Ppp1r15b|P	69	82	53	34
1:133135000-133135460|Ppp1r15b|P	42	20	50	27
1:133135744-133136141|Ppp1r15b|P	31	66	27	41
1:133158197-133159593|Plekha6|P	93	165	96	61
1:133163973-133165044|Plekha6|P	98	157	133	130
1:133181142-133181687|Plekha6|P	61	49	24	20
1:13324643-13325533|Ncoa2|P	51	101	78	58
1:133269977-133270226|Gm19461|P	38	20	41	42
1:133294419-133294842|Plekha6|P	14	42	8	50
1:13331796-13332986|Ncoa2|P	116	124	81	85
1:13335549-13336030|Ncoa2|P	31	61	61	34
1:133363110-133364567|Etnk2|P	121	218	210	169
1:13336429-13336781|Ncoa2|P	36	71	47	40
1:133367488-133368543|Etnk2|P	116	169	124	69
1:133397924-133398194|Sox13|P	14	39	33	0
1:133406968-133407261|Sox13|P	0	29	23	29
1:133412726-133413131|Sox13|P	48	50	10	32
1:13341574-13342082|Ncoa2|P	29	33	37	59
1:133416582-133417983|Sox13|P	110	172	97	73
1:133418265-133418973|Sox13|P	58	70	71	42
1:133422718-133424215|Sox13|P	142	213	127	153
1:13342423-13343544|Ncoa2|P	120	155	132	100
1:13346963-13347789|Ncoa2|P	33	60	76	29
1:133492970-133494224|Sox13|P	86	77	119	75
1:13360805-13361439|Ncoa2|P	41	64	71	54
1:133656752-133657075|Zbed6|P	41	12	9	23
1:133660423-133660715|Zbed6|P	33	42	37	20
1:13366632-13366925|Ncoa2|P	26	41	11	29
1:13367319-13368079|Ncoa2|P	52	78	54	56
1:13368267-13368930|Ncoa2|P	26	67	59	47
1:13374218-13374837|Ncoa2|P	0	50	58	49
1:133800642-133802138|Atp2b4|P	164	161	118	88
1:133816569-133817002|Atp2b4|P	33	62	24	23
1:133890332-133890737|Optc|P	2	43	37	10
1:133908065-133909452|Optc|P	75	122	129	117
1:134060006-134062202|Btg2|P	249	282	209	166
1:134062518-134065132|Btg2|P	364	466	381	248
1:134065492-134068041|Btg2|P	193	288	174	175
1:134073033-134073939|Btg2|P	33	83	76	46
1:134075587-134077151|Btg2|P	179	206	160	132
1:134079342-134080248|Btg2|P	49	136	86	68
1:134082518-134083566|Btg2|P	140	158	94	104
1:134083925-134084917|Btg2|P	86	104	76	85
1:134085576-134086964|Btg2|P	62	160	63	84
1:134092549-134093986|Btg2|P	101	166	85	121
1:134094556-134095106|Btg2|P	58	77	51	37
1:134095360-134096821|Chit1|P	178	240	145	146
1:134097210-134099105|Chit1|P	116	270	157	156
1:134099649-134100095|Chit1|P	37	49	50	50
1:134104779-134105973|Chit1|P	28	83	101	28
1:134167425-134168692|Chil1|P	70	149	83	93
1:134188468-134189909|Chil1|P	107	184	155	123
1:134192835-134196349|Mybph|P	397	669	474	376
1:134196701-134198749|Mybph|P	243	318	230	186
1:134201507-134202714|Mybph|P	36	118	70	60
1:134205105-134205873|Mybph|P	54	94	68	69
1:134209787-134210473|Mybph|P	24	37	87	17
1:134217948-134218980|Adora1|P	77	119	72	68
1:134222191-134223040|Adora1|P	64	87	90	65
1:134232323-134235860|Adora1|P	318	523	339	331
1:134240695-134242621|Adora1|P	175	272	156	125
1:134243516-134246743|Adora1|P	312	534	372	231
1:134246973-134247340|Adora1|P	25	42	0	34
1:134260232-134260838|Adora1|P	62	69	54	25
1:134262042-134262675|Adora1|P	73	97	59	33
1:134265875-134266130|Myog|P	32	40	29	20
1:134278222-134278634|Myog|P	50	47	24	21
1:134283250-134283706|Myog|P	25	36	33	37
1:134290229-134290661|Myog|P	45	54	10	34
1:134294430-134294933|Myog|P	44	34	58	33
1:134298753-134299490|Ppfia4|P	108	143	118	138
1:134300004-134300572|Ppfia4|P	83	54	33	69
1:134300731-134301295|Ppfia4|P	58	69	39	28
1:134301529-134302058|Ppfia4|P	45	44	26	22
1:134305412-134306401|Ppfia4|P	65	101	69	43
1:134307306-134307844|Ppfia4|P	49	53	42	34
1:134314391-134315587|Ppfia4|P	93	94	60	62
1:134332049-134333973|Ppfia4|P	156	286	295	168
1:134344324-134344997|Tmem183a|P	58	101	60	64
1:134360660-134361358|Tmem183a|P	65	50	43	0
1:134381690-134382548|Mgat4f|P	69	95	68	58
1:134405865-134406699|Cyb5r1|P	69	113	64	48
1:134414243-134414692|Adipor1|P	37	52	32	34
1:134416283-134420067|Adipor1|P	311	411	286	211
