SNL27	SNL45	SHAM24	SHAM35
7:74978865-74979161|4930533N22Rik|P	10	13	29	30
7:75136780-75137043|Sv2b|P	23	31	36	0
7:75138528-75139275|Sv2b|P	44	65	33	62
7:75142132-75142616|Sv2b|P	29	31	17	62
7:75308441-75309099|1500012K07Rik|P	74	103	61	54
7:75318279-75318771|Sv2b|P	18	49	41	17
7:75369886-75370697|Sv2b|P	38	104	52	34
7:75495837-75496275|Akap13|P	37	49	18	19
7:75595960-75596518|Akap13|P	42	46	21	17
7:75610378-75611409|Akap13|P	79	124	41	47
7:75640966-75642029|Akap13|P	72	112	82	93
7:75644529-75644889|Akap13|P	30	58	40	17
7:75692716-75693070|Akap13|P	40	34	3	13
7:75706008-75706492|Akap13|P	34	34	15	14
7:75709942-75710249|Akap13|P	46	40	23	12
7:75712594-75713167|Akap13|P	38	41	24	18
7:75715004-75715537|Akap13|P	48	77	20	15
7:75715875-75716268|Akap13|P	20	43	33	25
7:75747617-75749174|Akap13|P	46	181	117	85
7:75755299-75755958|Akap13|P	38	51	44	39
7:75760075-75760371|Akap13|P	45	36	5	8
7:75778225-75778706|Klhl25|P	39	40	31	8
7:75779066-75780232|Klhl25|P	55	103	47	37
7:75783733-75784433|Klhl25|P	51	54	25	38
7:75785054-75785607|Klhl25|P	39	55	57	30
7:75785932-75786557|Klhl25|P	32	72	38	22
7:75787699-75791020|Klhl25|P	200	323	254	148
7:75791215-75792761|Klhl25|P	133	132	62	53
7:75793121-75793499|Klhl25|P	15	45	21	22
7:75794199-75795492|Klhl25|P	105	141	108	85
7:75795955-75796818|Klhl25|P	57	81	70	41
7:75807244-75808220|Klhl25|P	78	103	72	36
7:75821808-75823587|Klhl25|P	127	196	98	43
7:75824384-75825203|Klhl25|P	61	55	59	50
7:75826839-75827234|Klhl25|P	21	48	6	20
7:75833073-75833552|Klhl25|P	10	32	17	18
7:75849426-75851524|Klhl25|P	88	132	119	112
7:75851930-75853958|Klhl25|P	229	337	268	238
7:75854279-75855267|Klhl25|P	86	186	120	114
7:75855568-75857105|Klhl25|P	147	208	114	143
7:75857495-75857956|Klhl25|P	34	35	37	45
7:75858304-75858749|Klhl25|P	4	44	27	29
7:75859163-75859659|Klhl25|P	35	29	34	57
7:75859779-75860281|Klhl25|P	46	51	49	60
7:75868176-75870142|Klhl25|P	180	297	184	144
7:75870663-75871883|Klhl25|P	98	126	96	108
7:75872187-75873010|Klhl25|P	71	123	79	56
7:75890528-75891290|Klhl25|P	39	68	29	21
7:75898949-75899928|Klhl25|P	59	112	28	37
7:78782092-78782882|Mrpl46|P	45	57	71	43
7:78783653-78784544|Mrpl46|P	55	61	73	35
7:78786013-78786446|Mrpl46|P	50	41	33	46
7:78846098-78846509|Det1|P	21	43	26	42
7:78864208-78864782|Det1|P	46	92	57	16
7:78865125-78866118|Det1|P	67	129	117	71
7:78882465-78883730|Mir7-2|P	114	158	101	80
7:78896412-78897729|Aen|P	101	175	92	89
7:78911838-78912470|Isg20|P	18	87	45	53
7:78912811-78914588|Isg20|P	187	196	152	183
7:79052883-79053470|Gm26633|P	27	62	56	53
7:79148058-79148443|Mfge8|P	17	22	43	29
7:79148612-79149385|Mfge8|P	41	69	37	99
7:79272302-79272799|Abhd2|P	44	34	48	41
7:79273592-79275048|Abhd2|P	122	159	105	132
7:79275278-79275654|Abhd2|P	15	43	33	35
7:79279237-79279904|Abhd2|P	45	55	24	51
7:79309125-79309713|Abhd2|P	59	53	26	53
7:79312561-79313172|Abhd2|P	21	22	38	53
7:79313627-79313977|Abhd2|P	41	26	32	32
7:79314261-79315103|Abhd2|P	43	98	71	47
7:79362832-79363715|Rlbp1|P	80	112	72	77
7:79392458-79392875|Fanci|P	56	39	50	68
7:79464181-79465576|Polg|P	230	305	220	232
7:79498933-79500399|Mir9-3hg|P	201	270	214	132
7:79504602-79505684|Mir9-3|P	138	202	178	136
7:79508513-79509174|Mir9-3|P	55	56	71	60
7:79515186-79515896|Mir9-3hg|P	65	128	78	99
7:79535490-79536653|Mir9-3hg|P	94	167	116	125
7:79592190-79592689|Rhcg|P	37	57	58	62
7:79607124-79607790|Rhcg|P	70	117	95	72
7:79617261-79617771|Rhcg|P	42	45	41	23
7:79660377-79661190|Ticrr|P	144	179	156	203
7:79710017-79710530|Kif7|P	29	87	62	59
7:79714860-79715904|Kif7|P	87	144	116	99
7:79721227-79721913|Plin1|P	78	104	77	66
7:79792524-79793605|Mesp1|P	148	257	240	203
7:79810888-79811517|Mesp2|P	103	155	95	94
7:79821340-79821706|Anpep|P	37	45	9	41
7:79846342-79848473|Anpep|P	172	223	116	54
7:79924455-79925318|Ap3s2|P	113	68	33	27
7:79934812-79935495|Arpin|P	61	104	76	91
7:80014472-80015450|Zfp710|P	71	152	96	63
7:80017794-80018146|Zfp710|P	12	16	32	17
7:80019113-80019461|Zfp710|P	33	50	41	20
7:80023425-80024151|Zfp710|P	41	68	44	40
7:80024302-80024887|Zfp710|P	70	108	55	73
7:80030581-80033356|Zfp710|P	268	321	217	156
7:80033765-80034170|Zfp710|P	54	58	27	41
7:80034465-80036355|Zfp710|P	245	299	238	144
7:80036490-80038122|Zfp710|P	120	146	145	155
7:80038432-80040253|Zfp710|P	136	216	129	83
7:80040535-80041069|Zfp710|P	46	82	65	41
7:80041264-80042814|Zfp710|P	124	163	113	126
7:80043060-80043535|Zfp710|P	64	66	51	19
7:80044417-80046638|Zfp710|P	272	307	290	180
7:80046929-80048354|Zfp710|P	106	182	105	136
7:80048803-80049353|Zfp710|P	44	63	25	38
7:80050751-80051274|Zfp710|P	37	51	15	11
7:80051531-80054687|Gm21057|P	316	409	310	192
7:80055090-80055807|Gm21057|P	73	58	41	36
7:80056131-80057580|Gm21057|P	195	287	184	199
7:80057737-80061421|Gm21057|P	436	638	554	463
7:80061713-80066197|Gm21057|P	482	743	463	414
7:80068080-80068603|Gm21057|P	96	98	67	85
7:80068964-80070569|Gm21057|P	245	274	253	201
7:80070695-80074799|Gm21057|P	392	742	475	352
7:80075158-80077910|Gm21057|P	313	419	333	290
7:80079095-80079775|Gm21057|P	55	69	83	55
7:80080321-80080731|Gm21057|P	47	47	26	31
7:80080951-80082620|Gm21057|P	238	337	247	240
7:80082767-80083633|Gm21057|P	73	86	35	62
7:80090422-80091356|Idh2|P	72	124	45	44
7:80091778-80092532|Idh2|P	49	79	76	62
7:80094576-80095934|Idh2|P	23	147	50	0
7:80099614-80100805|Idh2|P	80	165	126	68
7:80103025-80104017|Idh2|P	83	88	101	82
7:80110986-80111789|Idh2|P	36	72	55	41
7:80113856-80114604|Idh2|P	101	104	94	53
7:80134388-80135224|Idh2|P	29	86	94	65
7:80172388-80172807|Sema4b|P	39	57	51	27
7:80186314-80187274|Sema4b|P	108	158	145	98
7:80191258-80193083|Sema4b|P	187	372	260	231
7:80198984-80199441|Sema4b|P	41	56	36	27
7:80201079-80201541|Sema4b|P	33	78	43	53
7:80201982-80204593|Sema4b|P	357	388	290	295
7:80205506-80205902|Sema4b|P	48	62	45	23
7:80207118-80209934|Sema4b|P	386	536	390	413
7:80211491-80211948|Sema4b|P	0	70	33	21
7:80215027-80215471|Cib1|P	62	46	42	26
7:80229991-80231216|Cib1|P	80	129	56	33
7:80233790-80234108|Gdpgp1|P	34	12	29	27
7:80268546-80269195|Vps33b|P	49	67	52	29
7:80269775-80270707|Vps33b|P	29	75	58	85
7:80338839-80339690|Unc45a|P	80	87	72	74
7:80340845-80341429|Unc45a|P	36	52	71	39
7:80343297-80344016|Hddc3|P	74	52	83	54
7:80346813-80347132|Unc45a|P	13	43	40	21
7:80352468-80354240|Man2a2|P	206	348	213	158
7:80368042-80370073|Man2a2|P	237	380	273	273
7:80373641-80374721|Man2a2|P	79	74	87	78
7:80377727-80378105|Fes|P	35	61	29	25
7:80383803-80384386|Fes|P	51	40	10	49
7:80389309-80389700|Fes|P	41	58	37	44
7:80389945-80390478|Fes|P	56	111	53	43
7:80398464-80399371|Furin|P	107	184	154	159
7:80400000-80401590|Furin|P	186	233	203	170
7:80403060-80404874|Furin|P	129	196	114	93
7:80425496-80426373|Furin|P	85	81	28	32
7:80426616-80427732|Furin|P	95	150	102	119
7:80439938-80440524|Blm|P	60	60	53	51
7:80444260-80445256|Blm|P	133	164	149	84
7:80455796-80458467|Blm|P	322	373	202	146
7:80495224-80495545|Blm|P	36	22	42	9
7:80534206-80534897|Blm|P	95	102	78	44
7:80553947-80554719|Blm|P	54	75	76	62
7:80574829-80575668|Crtc3|P	66	121	61	19
7:80576199-80576605|Crtc3|P	56	33	27	19
7:80580487-80580902|Crtc3|P	43	85	25	23
7:80582692-80583394|Crtc3|P	67	78	65	64
7:80583612-80584215|Crtc3|P	24	56	64	43
7:80628165-80629886|Crtc3|P	152	229	140	129
7:80631105-80631789|Crtc3|P	74	80	57	54
7:80632012-80632366|Crtc3|P	24	22	34	12
7:80635241-80637644|Gm15880|P	193	333	221	157
7:80638063-80639619|Gm15880|P	183	251	128	161
7:80639853-80642866|Gm15880|P	291	425	285	254
7:80646239-80646895|Gm15880|P	44	39	50	33
7:80647493-80648594|Gm15880|P	63	86	83	65
7:80651844-80653388|Gm15880|P	135	226	128	73
7:80682708-80683243|Crtc3|P	35	47	40	39
7:80687721-80687983|Crtc3|P	16	45	44	53
7:80753359-80754423|Iqgap1|P	103	101	81	26
7:80802721-80803288|Iqgap1|P	35	108	57	62
7:80830657-80831350|Iqgap1|P	57	81	44	38
7:80831599-80831929|Iqgap1|P	8	27	28	6
7:80832270-80832733|Iqgap1|P	52	39	36	28
7:80861187-80862265|Zscan2|P	65	104	70	120
7:80863197-80863696|Zscan2|P	74	25	30	62
7:80864652-80865726|Zscan2|P	116	136	135	136
7:80875778-80876345|Zscan2|P	64	130	59	104
7:80882759-80883207|Wdr73|P	14	0	46	42
7:80888839-80890213|Wdr73|P	114	118	100	118
7:80900591-80900948|Wdr73|P	29	42	43	30
7:80901758-80902374|Wdr73|P	66	69	81	47
7:80904250-80905578|Nmb|P	97	119	114	60
7:80918067-80918708|Sec11a|P	37	64	22	24
7:80992523-80993197|Zfp592|P	47	120	96	38
7:80995228-80997955|Zfp592|P	197	248	202	154
7:81003925-81005230|Zfp592|P	121	167	115	115
7:81006098-81007369|Zfp592|P	59	131	65	74
7:81011381-81011742|Zfp592|P	25	39	13	16
7:81074485-81075028|Alpk3|P	26	72	36	23
7:81134453-81134899|Slc28a1|P	21	42	46	42
7:81212228-81212801|Pde8a|P	53	115	53	57
7:81213324-81213614|Pde8a|P	41	39	51	33
7:81213897-81214375|Pde8a|P	83	76	67	68
7:81225003-81225809|Pde8a|P	50	76	37	46
7:81235399-81235956|Pde8a|P	75	34	18	39
7:81307668-81308315|Pde8a|P	67	79	88	30
7:81327798-81328171|Rps17|P	29	41	41	18
7:81342956-81344590|Rps17|P	156	175	147	128
7:81348032-81348429|Cpeb1|P	40	40	54	24
7:81452954-81455590|Cpeb1|P	273	474	430	332
7:81493244-81494147|Ap3b2|P	64	141	39	115
7:81524145-81524703|2900076A07Rik|P	57	31	34	47
7:81528567-81529735|2900076A07Rik|P	77	99	79	54
7:81572525-81573140|Whamm|P	42	86	34	38
7:81577257-81579057|Whamm|P	110	130	129	84
7:81653517-81654074|Homer2|P	57	77	62	53
7:81654471-81655560|Homer2|P	65	120	72	77
7:81666417-81666861|Homer2|P	42	64	35	15
7:81673054-81673753|Homer2|P	31	97	49	37
7:81706421-81706852|Homer2|P	46	39	26	26
7:81726101-81726574|Homer2|P	25	41	43	16
7:81763236-81763831|Ramac|P	17	99	37	76
7:81788350-81788740|3110040N11Rik|P	40	31	53	36
7:81806272-81806542|Btbd1|P	34	34	17	10
7:81824988-81826161|Btbd1|P	58	128	128	115
7:81843893-81844219|Btbd1|P	44	60	13	20
7:81848580-81849288|Tm6sf1|P	73	77	93	26
7:81849574-81852409|Tm6sf1|P	233	354	237	194
7:81853513-81854846|Tm6sf1|P	140	177	121	74
7:81855775-81856269|Tm6sf1|P	58	62	35	40
7:81858044-81858900|Tm6sf1|P	82	141	104	96
7:81860337-81864380|Tm6sf1|P	380	606	473	373
7:81868311-81868812|Tm6sf1|P	13	52	37	26
7:81869309-81870280|Tm6sf1|P	42	97	71	27
7:81933465-81934870|Hdgfl3|P	143	270	175	145
7:81991509-81992779|Bnc1|P	90	205	115	130
7:82174411-82175441|Sh3gl3|P	50	98	37	47
7:82335281-82335780|Adamtsl3|P	33	38	36	61
7:82649173-82649762|Efl1|P	43	54	54	52
7:82688627-82689656|Efl1|P	90	166	145	69
7:82691060-82691968|Efl1|P	64	85	63	66
7:82743370-82743819|4933406J10Rik|P	20	52	52	24
7:82744164-82744698|4933406J10Rik|P	38	45	77	83
7:82745093-82745454|4933406J10Rik|P	40	38	31	16
7:82748827-82749506|4933406J10Rik|P	25	104	79	56
7:82820501-82821195|Mex3b|P	26	105	47	48
7:82822294-82822728|Mex3b|P	36	60	24	14
7:82822822-82823308|Mex3b|P	35	43	34	25
7:82826492-82826854|Mex3b|P	5	41	43	8
7:82827226-82828318|Mex3b|P	89	122	75	46
7:82834219-82835166|Mex3b|P	32	117	61	47
7:82838852-82839878|Mex3b|P	63	100	75	40
7:82841903-82843369|Mex3b|P	166	196	109	136
7:82851377-82852447|Mex3b|P	64	108	31	70
7:82852588-82852920|Mex3b|P	42	46	40	33
7:82853097-82853508|Mex3b|P	35	26	32	30
7:82868462-82870243|Mex3b|P	176	297	260	219
7:83571104-83571331|Tmc3|P	32	32	25	13
7:83630865-83631420|Stard5|P	28	47	40	37
7:83644793-83645594|Il16|P	43	132	55	44
7:83645777-83651072|Il16|P	482	858	575	450
7:83651317-83652961|Il16|P	195	171	126	138
7:83656201-83657084|Il16|P	47	57	48	49
7:83658808-83659354|Il16|P	25	62	49	42
7:83720177-83721050|Il16|P	36	88	55	42
7:83722019-83723749|Il16|P	139	197	100	69
7:83724006-83724790|Il16|P	78	71	35	17
7:83742263-83742595|Il16|P	38	20	27	44
7:83802264-83802644|Cfap161|P	62	50	33	38
7:83808953-83809609|Cfap161|P	132	101	94	102
7:83810059-83810820|Cfap161|P	66	123	80	77
7:83811447-83811736|Cfap161|P	29	34	21	9
7:83812707-83813318|Cfap161|P	51	59	64	52
7:83813956-83814456|Cfap161|P	39	47	27	44
7:83847045-83847545|Tlnrd1|P	42	34	28	46
7:83852157-83852587|Tlnrd1|P	27	33	26	15
7:83881916-83883441|Tlnrd1|P	202	338	250	274
7:83892621-83892879|Mesd|P	21	38	54	23
7:84085152-84085440|Cemip|P	5	20	14	5
7:84086214-84086703|Cemip|P	33	88	77	51
7:84103060-84103529|Cemip|P	40	36	18	7
7:84115412-84116044|Cemip|P	26	64	16	45
7:84117741-84118788|Abhd17c|P	69	117	85	98
7:84119011-84119904|Abhd17c|P	64	102	98	81
7:84119946-84120743|Abhd17c|P	75	77	46	47
7:84139507-84140012|Abhd17c|P	44	37	25	37
7:84140752-84141569|Abhd17c|P	46	70	51	69
7:84141824-84142545|Abhd17c|P	71	114	77	34
7:84142796-84143164|Abhd17c|P	39	20	51	20
7:84143372-84144678|Abhd17c|P	120	153	99	66
7:84145416-84146292|Abhd17c|P	60	142	53	66
7:84149782-84150482|Abhd17c|P	82	79	74	81
7:84162464-84163680|Abhd17c|P	29	152	57	41
7:84163917-84164693|Abhd17c|P	57	94	59	50
7:84191163-84191706|Abhd17c|P	37	44	38	17
7:84208394-84208829|Arnt2|P	31	31	46	11
7:84210595-84211566|Arnt2|P	43	85	76	54
7:84212613-84213301|Arnt2|P	26	88	33	29
7:84271703-84272506|Arnt2|P	46	63	112	80
7:84272865-84273365|Arnt2|P	57	43	35	38
7:84279203-84279587|Arnt2|P	18	33	33	38
7:84370275-84371927|Arnt2|P	128	179	169	135
7:84378981-84379566|Arnt2|P	77	49	58	4
7:84384261-84384493|Arnt2|P	24	26	10	5
7:84386546-84387583|Arnt2|P	82	134	84	89
7:84409475-84410550|Arnt2|P	63	162	33	128
7:84528852-84529373|Gm2115|P	58	62	91	47
7:84605245-84606314|Fah|P	40	146	66	78
7:84679925-84680362|Zfand6|P	35	40	27	25
7:84690184-84690626|Zfand6|P	28	64	41	42
7:87246493-87246993|Nox4|P	22	44	66	37
7:87584149-87584642|Grm5|P	37	22	26	24
7:88127916-88128627|Ctsc|P	56	69	33	43
7:88129896-88130779|Ctsc|P	123	163	133	167
7:88226180-88226627|Ctsc|P	9	36	35	43
7:88250387-88250986|Ctsc|P	74	65	38	30
7:88271108-88271796|Ctsc|P	66	50	21	27
7:88430207-88430707|Rab38|P	59	53	68	51
7:88998673-88999044|Tmem135|P	32	43	14	16
7:89161729-89162178|Tmem135|P	1	41	38	37
7:89177737-89178089|Tmem135|P	24	43	27	17
7:89178478-89179681|Tmem135|P	62	117	87	52
7:89180746-89181548|Tmem135|P	64	65	59	54
7:89195088-89195621|Tmem135|P	42	43	11	19
7:89202049-89202571|Tmem135|P	19	56	41	40
7:89210453-89211145|Tmem135|P	54	91	47	34
7:89215618-89216514|Tmem135|P	51	84	58	58
7:89237572-89237902|Tmem135|P	32	26	8	9
7:89244954-89245289|Tmem135|P	28	46	29	31
7:89246671-89247909|Tmem135|P	118	115	105	78
7:89250218-89251074|Tmem135|P	37	73	56	28
7:89254531-89254970|Tmem135|P	13	34	37	57
7:89265929-89266810|Tmem135|P	58	39	47	37
7:89270801-89271210|Tmem135|P	35	37	17	13
7:89282754-89283482|Tmem135|P	54	77	47	56
7:89287881-89288250|Tmem135|P	20	37	36	20
7:89290915-89291654|Tmem135|P	4	37	15	40
7:89295762-89296538|Tmem135|P	38	43	54	23
7:89298239-89298718|Tmem135|P	41	57	39	29
7:89300081-89300489|Tmem135|P	0	52	33	55
7:89308327-89309184|Tmem135|P	86	101	72	72
7:89335234-89335822|Tmem135|P	28	82	58	43
7:89371669-89372436|Tmem135|P	27	98	45	28
7:89383072-89383531|Tmem135|P	19	40	41	51
7:89385030-89385497|Tmem135|P	23	47	31	14
7:89403218-89403615|Tmem135|P	30	48	25	38
7:89410433-89411757|Fzd4|P	64	107	54	60
7:89472269-89472896|Prss23|P	45	41	48	38
7:89517090-89518197|Prss23|P	71	123	84	78
7:90016408-90017832|E230029C05Rik|P	78	154	71	36
7:90018369-90018752|E230029C05Rik|P	34	34	47	43
7:90020264-90020845|E230029C05Rik|P	16	64	61	31
7:90024539-90025052|E230029C05Rik|P	42	51	23	11
7:90026196-90026882|E230029C05Rik|P	43	95	49	35
7:90033142-90033709|E230029C05Rik|P	49	92	100	61
7:90036028-90036836|E230029C05Rik|P	111	34	65	53
7:90039022-90039557|E230029C05Rik|P	40	61	9	13
7:90040446-90041626|E230029C05Rik|P	88	169	83	80
7:90042227-90042805|E230029C05Rik|P	75	77	58	46
7:90043180-90043905|E230029C05Rik|P	46	69	36	49
7:90047218-90047936|E230029C05Rik|P	35	85	31	17
7:90048000-90048835|E230029C05Rik|P	57	71	60	66
7:90049442-90050424|E230029C05Rik|P	45	114	56	68
7:90053644-90054417|E230029C05Rik|P	34	74	70	56
7:90056944-90057429|E230029C05Rik|P	36	47	22	47
7:90057868-90058494|E230029C05Rik|P	36	45	83	30
7:90059174-90060380|E230029C05Rik|P	95	136	99	73
7:90061553-90061876|E230029C05Rik|P	33	35	38	28
7:90062558-90063451|E230029C05Rik|P	86	121	79	66
7:90067232-90067658|E230029C05Rik|P	57	54	37	24
7:90070131-90070934|E230029C05Rik|P	66	63	97	26
7:90099011-90100051|2310010J17Rik|P	80	112	88	50
7:90136604-90137181|Picalm|P	51	65	37	41
7:90137883-90138143|Picalm|P	28	26	32	17
7:90140972-90141541|Picalm|P	58	38	39	16
7:90145790-90146730|Picalm|P	61	79	85	41
7:90147022-90147470|Picalm|P	72	62	46	47
7:90156633-90157215|Picalm|P	33	45	26	45
7:90157997-90158675|Picalm|P	41	72	45	45
7:90167593-90168104|Picalm|P	46	32	34	30
7:90175496-90176041|Picalm|P	48	53	36	40
7:90199706-90200039|Picalm|P	28	35	23	15
7:90203126-90203442|Picalm|P	11	33	31	48
7:90302141-90303061|Sytl2|P	60	162	74	62
7:90352136-90352449|Sytl2|P	25	23	27	9
7:90426606-90427487|Ccdc89|P	93	114	108	71
7:90444343-90444850|Crebzf|P	59	53	50	44
7:90460352-90461654|Tmem126a|P	83	127	78	84
7:92636045-92636786|Ankrd42|P	58	111	80	114
7:92666454-92667602|Pcf11|P	62	113	93	68
7:92670272-92670740|Pcf11|P	12	44	58	56
7:92738501-92738755|4632427E13Rik|P	0	21	25	8
7:92739920-92740485|4632427E13Rik|P	19	70	50	26
7:92742018-92742329|Rab30|P	30	43	33	0
7:92775985-92776216|Rab30|P	0	12	26	36
7:92879321-92880168|Prcp|P	54	79	80	42
7:92881740-92882858|Prcp|P	68	99	62	69
7:92883780-92884087|Prcp|P	28	16	30	24
7:92886220-92886866|Prcp|P	21	58	32	13
7:92977666-92978048|Prcp|P	38	62	40	7
7:92978310-92979683|Prcp|P	70	147	80	86
7:92979876-92980133|Prcp|P	23	42	32	30
7:92980343-92980847|Prcp|P	18	61	42	13
7:92981275-92982131|Prcp|P	62	96	28	59
7:92984643-92984986|Prcp|P	15	34	48	35
7:93006646-93007266|Prcp|P	20	66	31	7
7:93079488-93081331|Gm15501|P	197	232	192	170
7:96153045-96153305|Tenm4|P	21	43	18	19
7:96212573-96213314|Tenm4|P	35	76	46	56
7:96482957-96483385|Tenm4|P	16	47	43	0
7:96755161-96755996|Tenm4|P	46	45	49	63
7:96781226-96781781|Tenm4|P	49	43	20	37
7:96789479-96791177|Tenm4|P	98	224	110	84
7:96795353-96795760|Tenm4|P	45	44	44	25
7:96801442-96802582|Gm15413|P	61	133	80	89
7:96855902-96856167|Gm15413|P	29	28	29	0
7:96856575-96857018|Gm15413|P	26	55	18	1
7:96883278-96884072|Nars2|P	81	65	31	40
7:96971520-96971879|Nars2|P	44	49	9	22
7:96983931-96984570|Nars2|P	78	41	41	14
7:97083366-97083777|Gab2|P	41	53	43	51
7:97094733-97095090|Gab2|P	28	54	24	13
7:97107531-97108349|Gab2|P	46	95	49	56
7:97153779-97154098|Gab2|P	54	18	24	21
7:97155343-97156059|Gab2|P	58	81	64	8
7:97164123-97164574|Gab2|P	22	55	30	34
7:97171236-97172922|Gab2|P	116	174	120	78
7:97183961-97184253|Gab2|P	35	14	33	14
7:97187370-97187962|Gab2|P	15	58	29	83
7:97207818-97208831|Usp35|P	82	84	97	38
7:97246089-97246862|Usp35|P	48	54	31	64
7:97248741-97250129|Usp35|P	71	123	74	53
7:97270317-97272092|Usp35|P	137	110	113	112
7:97311621-97312439|Usp35|P	31	129	61	9
7:97315290-97316121|Usp35|P	79	74	56	55
7:97316501-97316911|Usp35|P	10	61	29	29
7:97325599-97325998|Usp35|P	38	49	2	64
7:97328876-97331385|Usp35|P	191	253	292	191
7:97332742-97335217|Kctd21|P	189	295	161	175
7:97335527-97336525|Kctd21|P	105	141	70	80
7:97337470-97340141|Kctd21|P	177	246	207	142
7:97343002-97343821|Kctd21|P	70	84	75	77
7:97344791-97346647|Kctd21|P	132	247	136	155
7:97354113-97355268|Alg8|P	58	96	88	51
7:97355508-97355970|Alg8|P	40	60	55	23
7:97356165-97356772|Alg8|P	43	74	31	19
7:97357046-97358573|Alg8|P	131	177	124	91
7:97372172-97372576|Alg8|P	41	38	13	14
7:97374512-97376747|Alg8|P	73	223	185	103
7:97383498-97384068|Alg8|P	54	55	39	0
7:97401119-97402329|Ndufc2|P	113	112	118	106
7:97404566-97404808|Ndufc2|P	11	31	19	41
7:97415757-97416275|Thrsp|P	18	46	48	27
7:97416561-97418244|Thrsp|P	178	205	162	120
7:97418640-97420133|Thrsp|P	122	194	144	146
7:97453061-97454043|Kctd14|P	11	77	65	102
7:97481565-97481976|Ints4|P	34	29	43	36
7:97578407-97579056|Aamdc|P	19	63	58	30
7:97588397-97589270|Rsf1|P	93	111	73	46
7:97589630-97590123|Rsf1|P	47	65	51	43
7:97590571-97590868|Rsf1|P	30	29	31	34
7:97591300-97592763|Rsf1|P	76	154	154	160
7:97609916-97610780|Rsf1|P	51	107	65	92
7:97627489-97628290|Rsf1os1|P	42	123	55	62
7:97637003-97637344|Rsf1os1|P	24	28	34	4
7:97661494-97662162|Rsf1|P	65	51	42	27
7:97662730-97663090|Rsf1|P	41	50	20	36
7:97695857-97696395|Rsf1os2|P	36	103	42	70
7:97709166-97709478|Rsf1os2|P	15	35	43	22
7:97737295-97737928|Aqp11|P	44	92	90	80
7:97749144-97750484|Aqp11|P	94	144	94	37
7:97751855-97752344|Aqp11|P	35	56	5	0
7:97764443-97766632|Pak1|P	147	259	151	166
7:97766848-97767640|Pak1|P	46	73	74	36
7:97781373-97781920|Pak1|P	63	79	28	38
7:97788087-97788503|Pak1|P	39	61	26	60
7:97789036-97789387|Pak1|P	41	45	27	30
7:97799747-97800368|Pak1|P	59	64	31	27
7:97833925-97834651|Pak1|P	35	75	51	45
7:97838380-97838761|Pak1|P	20	50	32	17
7:97843439-97844252|Pak1|P	73	45	52	54
7:97849573-97849925|Pak1|P	42	27	27	0
7:97862981-97863852|Pak1|P	50	72	50	43
7:98082080-98084708|Myo7a|P	210	407	276	229
7:98085251-98086279|Myo7a|P	60	133	96	58
7:98102426-98103165|Myo7a|P	58	78	74	53
7:98155691-98156589|Capn5|P	87	84	111	56
7:98160382-98160950|Capn5|P	38	40	74	49
7:98164796-98165700|Capn5|P	39	103	57	60
7:98171025-98172048|Gm16938|P	72	109	123	103
7:98177617-98178595|Capn5|P	43	110	25	58
7:98193449-98194677|B3gnt6|P	209	284	220	142
7:98309618-98310032|Acer3|P	21	36	31	12
7:98313508-98313931|Acer3|P	33	46	44	18
7:98314096-98314687|Acer3|P	50	46	19	13
7:98319752-98320574|Acer3|P	59	83	50	41
7:98321210-98322578|Acer3|P	79	152	94	81
7:98322951-98323992|Acer3|P	121	196	147	113
7:98324229-98325286|Acer3|P	76	122	87	64
7:98326133-98326891|Acer3|P	26	87	35	27
7:98328888-98329802|Acer3|P	56	117	56	65
7:98332470-98333227|Acer3|P	54	83	51	42
7:98333498-98335328|Acer3|P	196	230	198	140
7:98340038-98341220|Acer3|P	133	131	124	111
7:98360122-98361658|Tsku|P	202	188	163	186
7:98415245-98415775|Gucy2d|P	53	76	46	26
7:98426243-98427172|Gucy2d|P	76	125	46	60
7:98427537-98428055|Gucy2d|P	57	66	57	48
7:98489540-98490259|Lrrc32|P	102	154	106	104
7:98522356-98524679|Lrrc32|P	172	235	212	187
7:98534253-98536626|Lrrc32|P	182	241	199	181
7:98657249-98657753|Emsy|P	45	47	38	32
7:98701804-98702358|Gm15506|P	34	50	37	69
7:98703729-98704118|Thap12|P	33	48	22	17
7:98769010-98769622|Thap12|P	36	84	26	25
7:98770251-98771809|Thap12|P	94	155	78	85
7:98804624-98805466|Wnt11|P	47	78	61	37
7:98816247-98816825|Wnt11|P	79	54	73	61
7:98818807-98819122|Wnt11|P	29	68	41	20
7:98834539-98836510|Wnt11|P	184	378	235	329
7:98837933-98838510|Wnt11|P	8	53	40	26
7:98838690-98839551|Wnt11|P	104	144	110	112
7:98868851-98869352|Wnt11|P	8	64	36	25
7:98869484-98870379|Wnt11|P	43	95	70	33
7:98870739-98871423|Wnt11|P	108	89	58	92
7:98893704-98894147|Wnt11|P	28	44	18	46
7:98953889-98954574|Uvrag|P	60	90	47	73
7:98970674-98971095|Uvrag|P	33	23	56	45
7:98971570-98971932|Uvrag|P	28	45	5	26
7:98992814-98993613|Uvrag|P	35	95	53	53
7:98994138-98994481|Uvrag|P	32	44	52	26
7:98994666-98995643|Uvrag|P	29	101	67	54
7:98997001-98997447|Uvrag|P	39	32	52	17
7:99027177-99027938|Uvrag|P	99	97	63	109
7:99042946-99043448|Uvrag|P	34	72	43	23
